dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
ACPBackgroundManagerPolicy.dll,0x180003bf0,unknown,0,unknown,unknown,False,unknown
adhsvc.dll,0x1800032c3,c49a5a70-8a7f-4e70-ba16-1e8f1f193ef1,0x1800100c0,0x29,0x1800040f0,False,True
AggregatorHost.exe,0x140020318,7df1ceae-de4e-4e6f-ab14-49636e7c2052,0x140027830,0x29,0x0,False,True
appidsvc.dll,0x18000abf5,8a7b5006-cc13-11db-9705-005056c00008,0x18000f360,unknown,0x18000acb0,False,unknown
appinfo.dll,0x180006641,0497b57d-2e66-424f-a0c6-157cd5d41700,0x1800253a0,unknown,0,False,unknown
appinfo.dll,0x180007209,201ef99a-7fa0-444c-9399-19ba84f12a1a,0x180025120,unknown,0,False,unknown
appinfo.dll,0x180007246,5f54ce7d-5b79-4175-8584-cb65313a0e98,0x1800250c0,unknown,0x1800227a0,False,unknown
appinfo.dll,0x180007283,fd7a0523-dc70-43dd-9b2e-9c5ed48225b1,0x180025060,unknown,0x1800227c0,False,unknown
appinfo.dll,0x1800072c0,58e604e8-9adb-4d2e-a464-3b0683fb1480,0x180025000,unknown,0x180022780,False,unknown
AppVEntSubsystemController.dll,0x18002b1a0,unknown,0x3d2500000000,0x8,0x18002acf0,False,True
AppVShNotify.exe,0x14000bd1c,unknown,0x3d2500000000,0x8,0x14000b8a0,False,True
AppXDeploymentServer.dll,0x1800827a1,ae2dc901-312d-41df-8b79-e835e63db874,0x1802f3bd0,0x11,0x0,True,True
AppXDeploymentServer.dll,0x180082831,ff9fd3c4-742e-45e0-91dd-2f5bc632a1df,0x1802f4c60,0x1803ca048,0x0,False,False
AppXDeploymentServer.dll,0x1800827c6,ae2dc901-312d-41df-8b79-e835e63db874,0x1802f3bd0,0x1803ca048,unknown,False,False
audiodg.exe,0x14001a392,1f53838b-693a-4bbb-99c9-b154f749b8a3,0x14007cbe0,unknown,0x14001ea40,False,unknown
audiosrv.dll,0x180050840,98b2c141-eca2-4919-98b4-a1980d00d234,0x1801524c0,0x21,0x18000c370,False,True
audiosrv.dll,0x180050bfd,unknown,r8,0x21,0x18000c370,True,True
bisrv.dll,0x18003b558,unknown,0,unknown,unknown,False,unknown
BrokerLib.dll,0x1800108df,d09bdeb5-6171-4a34-bfe2-06fa82652568,0x180028580,0x21,unknown,False,True
bthserv.dll,0x18000707b,2acb9d68-b434-4b3e-b966-e06b4b3a84cb,0x180030a90,0x1,unknown,False,True
ByteCodeGenerator.exe,0x14000321c,43d210c2-4dfb-44d0-ab40-31aab2e980f3,0x140010630,unknown,0x0,False,unknown
certprop.dll,0x180003911,30b044a5-a225-43f0-b3a4-e060df91f9c1,0x180025000,unknown,0x1800244a0,False,unknown
combase.dll,0x1800a96b2,unknown,unknown,0x18031f8b8,0x1800a0a30,True,False
combase.dll,0x1800e19a9,unknown,unknown,0x8,unknown,True,True
cryptcatsvc.dll,0x180004aca,f50aac00-c7f3-428e-a022-a6b71bfb9d43,0x180017090,0x21,0x180001950,False,True
cryptsvc.dll,0x180008c71,0d72a7d4-6148-11d1-b4aa-00c04fb66ea0,0x180013000,0x21,0x180008320,False,True
crypttpmeksvc.dll,0x18000119b,2579ff35-0ab0-4e5a-88fa-1d88c4e0cb92,0x18000b000,0x21,0x180003840,False,True
dab.dll,0x180008ce9,7419cf08-91a7-4afd-8f5e-1dd76de094fd,0x180013000,0x21,0x1800092c0,False,True
dasHost.exe,0x140001456,eeee008d-5c99-4e4b-861b-547a26e8abd0,0x1400129b0,0x29,0x140016558,False,True
DeviceSetupManager.dll,0x180003fef,420bca2f-a0e8-45f4-a8ff-906745e8876c,0x18002e030,0x1,unknown,False,True
DeviceSetupManager.dll,0x18000402f,f19c345c-5e00-4cb4-b1d1-eff9ea31b166,0x18002e090,0x11,0x180028f80,False,True
DeviceSetupManager.dll,0x180004066,3d27921d-9a28-483f-a749-a48fde7d0c5f,0x18002e0f0,0x1,0x180028f80,False,True
dfssvc.exe,0x140002e9a,4fc742e0-4a10-11cf-8273-00aa004ae673,0x14005ae00,0,,False,True
dhcpcore.dll,0x180014418,3c4728c5-f0ab-448b-bda1-6ce01eb0a6d5,0x180042000,0x9,0x180002e80,False,True
dhcpcore6.dll,0x180005bc8,3c4728c5-f0ab-448b-bda1-6ce01eb0a6d6,0x18002f000,0x9,0x180001960,False,True
diagtrack.dll,0x180244aa9,unknown,r8,0x29,unknown,False,True
DispBroker.Desktop.dll,0x1800349bb,509bc7ae-77be-4ee8-b07c-0d096bb44345,0x180049d20,0x29,0x0,False,True
